party,name,state,district,twitter_username,twitter_id,tweet_count,eligible,included_in_balanced_corpus,exclusion_reason,user_code,source_url
Republican,Tom Emmer,MN,06,GOPMajorityWhip,,50,True,true,,rep195,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Veronica Escobar,TX,16,RepEscobar,,50,True,true,,dem199,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Adriano Espaillat,NY,13,RepEspaillat,,50,True,true,,dem004,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ron Estes,KS,04,RepRonEstes,,50,True,true,,rep172,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Dwight Evans,PA,03,RepDwightEvans,,50,True,true,,dem042,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Gabe Evans,CO,08,repgabeevans,,50,True,true,,rep072,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mike Ezell,MS,04,RepEzell,,50,True,true,,rep137,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Pat Fallon,TX,04,RepPatFallon,,50,True,true,,rep153,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Julie Fedorchak,ND,00,RepFedorchak,,50,True,true,,rep105,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Randy Feenstra,IA,04,RepFeenstra,,50,True,true,,rep159,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Cleo Fields,LA,06,RepFields,,50,True,true,,dem027,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Shomari Figures,AL,02,repscfigures,,50,True,true,,dem178,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Randy Fine,FL,06,RepFine,,50,True,true,,rep160,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brad Finstad,MN,01,repfinstad,,50,True,true,,rep023,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Michelle Fischbach,MN,07,RepFischbach,,50,True,true,,rep133,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Scott Fitzgerald,WI,05,RepFitzgerald,,50,True,true,,rep181,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brian Fitzpatrick,PA,01,RepBrianFitz,,50,True,true,,rep028,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Charles Fleischmann,TN,03,RepChuck,,50,True,true,,rep040,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Lizzie Fletcher,TX,07,RepFletcher,,50,True,true,,dem118,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mike Flood,NE,01,USRepMikeFlood,,50,True,true,,rep138,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Vince Fong,CA,20,RepVinceFong,,50,True,true,,rep206,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Bill Foster,IL,11,RepBillFoster,,50,True,true,,dem017,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Valerie Foushee,NC,04,ValerieFoushee,,50,True,true,,dem198,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Virginia Foxx,NC,05,virginiafoxx,,50,True,true,,rep207,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Lois Frankel,FL,22,RepLoisFrankel,,50,True,true,,dem120,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,C. Franklin,FL,18,RepFranklin,,50,True,true,,rep036,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Laura Friedman,CA,30,RepFriedmanCA,,50,True,true,,dem114,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Maxwell Frost,FL,10,RepMaxwellFrost,,50,True,true,,dem137,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Russell Fry,SC,07,RepRussellFry,,50,True,true,,rep176,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Russ Fulcher,ID,01,RepRussFulcher,,50,True,true,,rep175,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Clay Fuller,GA,14,RepClayFuller,,0,False,false,,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,John Garamendi,CA,08,RepGaramendi,,50,True,true,,dem091,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Andrew Garbarino,NY,02,RepGarbarino,,50,True,true,,rep006,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Robert Garcia,CA,42,RepRobertGarcia,,50,True,true,,dem161,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Sylvia Garcia,TX,29,RepSylviaGarcia,,50,True,true,,dem190,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jesús García,IL,04,RepChuyGarcia,,50,True,true,,dem083,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brandon Gill,TX,26,RepBrandonGill,,50,True,true,,rep025,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Laura Gillen,NY,04,RepLauraGillen,,50,True,true,,dem115,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Carlos Gimenez,FL,28,RepCarlos,,50,True,true,,rep037,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Marie Gluesenkamp Perez,WA,03,RepMGP,,50,True,true,,dem129,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jared Golden,ME,02,RepGolden,,50,True,true,,dem076,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Craig Goldman,TX,12,RepCraigGoldman,,50,True,true,,rep047,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Daniel Goldman,NY,10,RepDanGoldman,,50,True,true,,dem028,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jimmy Gomez,CA,34,RepJimmyGomez,,50,True,true,,dem086,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Tony Gonzales,TX,23,RepTonyGonzales,,50,True,true,,rep197,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Vicente Gonzalez,TX,34,RepGonzalez,,50,True,true,,dem200,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Maggie Goodlander,NH,02,RepGoodlander,,50,True,true,,dem126,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Paul Gosar,AZ,09,RepGosar,,50,True,true,,rep155,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Josh Gottheimer,NJ,05,RepJoshG,,50,True,true,,dem097,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Sam Graves,MO,06,RepSamGraves,,50,True,true,,rep179,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Adam Gray,CA,13,RepAdamGrayCA,,50,True,true,,dem001,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Al Green,TX,09,RepAlGreen,,50,True,true,,dem005,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Morgan Griffith,VA,09,RepMGriffith,,50,True,true,,rep145,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Adelita Grijalva,AZ,07,Rep_Grijalva,,48,True,true,,dem003,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Glenn Grothman,WI,06,RepGrothman,,50,True,true,,rep074,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Michael Guest,MS,03,RepMichaelGuest,,50,True,true,,rep127,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Brett Guthrie,KY,02,RepGuthrie,,50,True,true,,rep026,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Harriet Hageman,WY,00,RepHageman,,50,True,true,,rep080,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Abe Hamadeh,AZ,08,RepAbeHamadeh,,50,True,true,,rep002,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Josh Harder,CA,09,RepJoshHarder,,50,True,true,,dem098,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mike Haridopolos,FL,08,RepHaridopolos,,50,True,true,,rep139,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Pat Harrigan,NC,10,RepPatHarrigan,,50,True,true,,rep154,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Andy Harris,MD,01,RepAndyHarrisMD,,50,True,true,,rep010,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Mark Harris,NC,08,RepMarkHarrisNC,,50,True,true,,rep120,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Diana Harshbarger,TN,01,RepHarshbarger,,50,True,true,,rep063,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Jahana Hayes,CT,05,RepJahanaHayes,,50,True,true,,dem070,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Kevin Hern,OK,01,repkevinhern,,50,True,true,,rep109,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Clay Higgins,LA,03,RepClayHiggins,,50,True,true,,rep044,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,French Hill,AR,02,RepFrenchHill,,50,True,true,,rep071,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Republican,Ashley Hinson,IA,02,RepAshleyHinson,,50,True,true,,rep013,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
Democratic,Steven Horsford,NV,04,RepHorsford,,50,True,true,,dem184,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress
