party,name,state,district,twitter_username,twitter_id,source_url,included_in_balanced_corpus,exclusion_reason
Democratic,Hank Johnson,GA,04,RepHankJohnson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Johnson,LA,04,SpeakerJohnson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Julie Johnson,TX,32,RepJulieJohnson,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jim Jordan,OH,04,Jim_Jordan,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,David Joyce,OH,14,RepDaveJoyce,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,John Joyce,PA,13,RepJohnJoyce,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Sydney Kamlager-Dove,CA,37,RepKamlagerDove,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Marcy Kaptur,OH,09,RepMarcyKaptur,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Thomas Kean,NJ,07,CongressmanKean,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,William Keating,MA,09,USRepKeating,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Kelly,PA,16,MikeKellyPA,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Robin Kelly,IL,02,RepRobinKelly,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Trent Kelly,MS,01,RepTrentKelly,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Mike Kennedy,UT,03,RepMikeKennedy,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Tim Kennedy,NY,26,RepTimKennedy,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Ro Khanna,CA,17,RepRoKhanna,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Jennifer Kiggans,VA,02,RepKiggans,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Kevin Kiley,CA,03,RepKiley,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Young Kim,CA,40,RepYoungKim,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Brad Knott,NC,13,RepKnott,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Raja Krishnamoorthi,IL,08,CongressmanRaja,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,David Kustoff,TN,08,RepDavidKustoff,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Darin LaHood,IL,16,RepLaHood,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nick LaLota,NY,01,RepLaLota,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Greg Landsman,OH,01,RepGregLandsman,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Republican,Nicholas Langworthy,NY,23,RepLangworthy,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
Democratic,Rick Larsen,WA,02,RepRickLarsen,,https://pressgallery.house.gov/member-data/members-official-x-handles-119th-congress,,
